product_id,Sku_name,Total_sales,price,Total_comment_count,Product_score
5.7658E+11,Hugo Boss【BOSS】男士商务休闲双面皮革针扣腰带50397963 ,9,1450,1,5
5.82815E+11,Hugo Boss【BOSS】男士商务休闲低帮运动鞋50403420 ,0,2480,0,无数据
5.79387E+11,Hugo Boss【BOSS】男士商务休闲游泳裤沙滩裤50291913 ,6,660,2,4.5
5.82822E+11,Hugo Boss【BOSS】男士运动休闲常规版羊毛长袖针织衫50398640 ,1,1900,0,无数据
5.73733E+11,Hugo Boss【BOSS】男士舒适休闲弹力棉polo衫50378334 ,8,630,2,5
5.74331E+11,Hugo Boss【Hugo】男士迷彩印花针织长裤50395018 ,11,1085,3,3.6
5.81333E+11,Hugo Boss【BOSS】男士商务休闲弹力棉斜纹棉布裤50400127 ,2,1550,0,无数据
5.72769E+11,Hugo Boss【BOSS】男士商务休闲牛仔裤50396748 ,12,1085,3,4.6
5.81984E+11,Hugo Boss【BOSS】男士商务休闲腰带50402843 ,4,1450,0,无数据
5.77079E+11,Hugo Boss【Hugo】男士宽松版圆领套头运动衫卫衣50395029 ,4,1085,0,无数据
5.79574E+11,Hugo Boss【BOSS】男士商务休闲正装衬衫50373393 ,4,1650,1,5
5.82089E+11,Hugo Boss【BOSS】男士运动休闲拉链连帽运动衫50399865 ,1,2800,0,无数据
5.69368E+11,Hugo Boss【BOSS】男士商务休闲西裤50385176 ,6,1080,0,无数据
5.55232E+11,Hugo Boss【BOSS】男士运动休闲常规版直筒牛仔裤50318733 ,29,1085,12,5
5.75906E+11,Hugo Boss【BOSS】 Michael Jackson致敬款男士商务西装50406659 ,1,10000,0,无数据
5.81702E+11,Hugo Boss【BOSS】男士商务休闲长裤50394784 ,1,1760,1,5
5.81853E+11,Hugo Boss【BOSS】男士商务休闲腰带50402847 ,2,1450,0,无数据
5.78442E+11,Hugo Boss【BOSS】男士商务休闲polo衫50382942 ,4,1100,1,5
5.56959E+11,Hugo Boss【BOSS】男士运动休闲平纹短T恤50245195 ,130,560,34,4.9
5.7599E+11,Hugo Boss【BOSS】男士商务休闲V领针织衫毛衣50378576 ,9,1700,2,5
5.76521E+11,Hugo Boss【BOSS】男士商务休闲双色双面皮革板扣腰带50397945 ,33,1100,11,4.9
5.47007E+11,Hugo Boss【BOSS】男士双面皮革腰带50220322 ,91,1450,29,4.5
5.73977E+11,Hugo Boss【BOSS】男士舒适休闲衬衫50392306 ,14,770,1,5
5.81713E+11,Hugo Boss【BOSS】男士舒适休闲T恤50399743 ,3,660,1,5
5.72196E+11,Hugo Boss【BOSS】男士商务休闲短袖polo衫50303542 ,69,630,24,4.9
5.73694E+11,Hugo Boss【BOSS】男士商务休闲logo提花平角内裤50381193 ,55,224,12,4.8
5.81961E+11,Hugo Boss【BOSS】男士舒适休闲polo衫50378334 ,0,900,0,无数据
5.78033E+11,Hugo Boss【BOSS】男士商务休闲双面棉polo衫50364789 ,15,1250,4,5
5.81865E+11,Hugo Boss【BOSS】男士商务休闲长裤50400116 ,3,2000,0,无数据
5.72602E+11,Hugo Boss【BOSS】男士运动休闲T恤50389711 ,11,540,2,5
5.73019E+11,Hugo Boss【BOSS】男士商务休闲桑蚕丝提花图案式领带50397555 ,5,720,0,无数据
5.69605E+11,Hugo Boss【BOSS】男士商务休闲短袖衬衫50391416 ,11,990,4,5
5.81836E+11,Hugo Boss【BOSS】男士舒适休闲运动衫50398789 ,1,1800,1,5
5.82577E+11,Hugo Boss【BOSS】男士商务休闲低帮系带运动鞋50402352 ,1,2800,1,5
5.82246E+11,Hugo Boss【BOSS】男士运动休闲修身立领拉链卫衣运动衫50399857 ,0,2800,0,无数据
5.7776E+11,Hugo Boss【BOSS】男士商务休闲衬衫50387344 ,33,1450,9,4.5
5.74587E+11,Hugo Boss【Hugo】男士休闲版狼图案牛津棉衬衫50394010 ,6,945,5,5
5.78124E+11,Hugo Boss【BOSS】男士商务休闲牛皮革抽绳斜挎包50403636 ,0,10800,0,无数据
5.82095E+11,Hugo Boss【BOSS】男士运动休闲修身版中腰长裤50399837 ,1,1650,1,5
5.74851E+11,Hugo Boss【Hugo】女士粗棒针织流苏镶边围巾50395982 ,1,945,0,无数据
5.81579E+11,Hugo Boss【BOSS】男士商务休闲皮鞋50398009 ,1,3100,0,无数据
5.81762E+11,Hugo Boss【BOSS】男士舒适休闲棉质素色毛衣针织衫50398730 ,1,1450,0,无数据
5.75111E+11,Hugo Boss【BOSS】男士商务休闲正装西装黑色长裤50394695 ,8,1540,0,无数据
5.82443E+11,Hugo Boss【BOSS】男士商务休闲修身版棉质长袖衬衫50399311 ,1,1450,0,无数据
5.59875E+11,Hugo Boss【BOSS】男士商务弹力棉纯色三角内裤三条装50325402 ,55,400,18,5
5.75815E+11,Hugo Boss【BOSS】男士商务休闲粒面革手提单肩公文包50397344 ,5,5600,2,5
5.69158E+11,Hugo Boss【BOSS】男士舒适休闲短袖Polo衫50378334 ,191,900,53,5
5.73951E+11,Hugo Boss【Hugo】男士迷彩印花休闲版T恤50395353 ,13,539,5,5
5.74121E+11,Hugo Boss【BOSS】男士商务休闲商务衬衫50393162 ,15,1080,3,5
5.46659E+11,Hugo Boss【BOSS】 男士光滑牛皮双面腰带 50286255 ,34,1450,6,5
5.75532E+11,Hugo Boss【BOSS】男士商务休闲双面皮革针扣腰带50397963 ,27,1450,9,5
5.74371E+11,Hugo Boss【BOSS】男士商务休闲polo领毛衣50373717 ,27,1550,4,5
5.75749E+11,Hugo Boss【BOSS】男士运动休闲拉链式针织衫50391897 ,24,1800,8,5
5.75518E+11,Hugo Boss【BOSS】女士商务休闲圆翻领针织毛衣50392498 ,5,1140,1,5
5.81774E+11,Hugo Boss【Hugo】男士修身版棉质长袖衬衫50399877 ,2,1200,1,5
5.81971E+11,Hugo Boss【BOSS】男士运动休闲短袖印花T恤50399921 ,1,660,0,无数据
5.72247E+11,Hugo Boss【BOSS】男士运动休闲弹力斜纹布短裤50390044 ,8,870,2,5
5.82712E+11,Hugo Boss【BOSS】男士商务休闲布洛克正装皮鞋50402976 ,0,4300,0,无数据
5.7548E+11,Hugo Boss【BOSS】男士商务休闲弹力棉布休闲长裤50395616 ,7,1850,2,5
5.69063E+11,Hugo Boss【BOSS】男士商务休闲纸质棉短裁长裤50390992 ,2,1200,0,无数据
5.69376E+11,Hugo Boss【BOSS】男士商务休闲正装皮鞋50390232 ,5,3100,3,5
5.77798E+11,Hugo Boss【BOSS】男士运动休闲常规版短袖polo衫50382150 ,0,1015,1,5
5.81712E+11,Hugo Boss【BOSS】男士舒适休闲T恤50399677 ,3,560,0,无数据
5.77945E+11,Hugo Boss【BOSS】男士运动休闲开衫连帽运动衫卫衣50391523 ,1,3700,2,5
5.7414E+11,Hugo Boss【BOSS】男士商务休闲平角内裤50392383 ,33,312,5,5
5.69069E+11,Hugo Boss【BOSS】女士商务休闲衬衫50389887 ,4,1000,3,5
5.47022E+11,Hugo Boss【BOSS】男士素色方巾 西装口袋巾 50242752 ,81,340,21,5
5.73736E+11,Hugo Boss【BOSS】男士舒适休闲印花T恤50393650 ,11,539,3,5
5.77154E+11,Hugo Boss【BOSS】男士商务休闲压花皮革名片夹卡包50397460 ,2,720,0,无数据
5.8152E+11,Hugo Boss【BOSS】男士商务休闲衬衫50399942 ,1,1550,0,无数据
5.69366E+11,Hugo Boss【BOSS】男士运动休闲弹力棉混纺纱短裤50390046 ,8,870,2,5
5.77312E+11,Hugo Boss【BOSS】男士商务休闲尖领衬衫50394290 ,6,960,0,无数据
5.7398E+11,Hugo Boss【BOSS】男士商务休闲系带商务皮鞋50387171 ,2,3120,1,3
5.46619E+11,Hugo Boss【BOSS】男士商务休闲腰带50248222 ,28,3300,9,5
5.69599E+11,Hugo Boss【BOSS】男士商务休闲印花短款游泳短裤沙滩裤50390409 ,30,660,10,5
5.71151E+11,Hugo Boss【BOSS】男士商务休闲牛仔裤50389916 ,10,1260,2,5
5.68309E+11,Hugo Boss【BOSS】男士商务休闲手链50390128 ,2,1140,1,5
5.69603E+11,Hugo Boss【BOSS】男士商务休闲公文包手拿包50390387 ,2,1560,0,无数据
5.71591E+11,Hugo Boss【Hugo】男士紧身版弹力牛仔裤50388960 ,6,990,3,5
5.76869E+11,Hugo Boss【BOSS】男士商务休闲波点衬衫50393426 ,6,1160,1,5
5.75093E+11,Hugo Boss【Hugo】男士时尚迷彩休闲长裤50393607 ,3,1400,1,5
5.82216E+11,Hugo Boss【Hugo】男士牛仔裤50402089 ,1,1800,1,5
5.6508E+11,Hugo Boss【BOSS】男士休闲游泳短裤沙滩裤50291913 ,52,660,20,4.8
5.66627E+11,Hugo Boss【BOSS】男士运动休闲斜纹棉布休闲裤50383744 ,32,1240,17,5
5.78153E+11,Hugo Boss【BOSS】男士商务休闲弹力棉布休闲长裤50395616 ,0,1850,0,无数据
5.69336E+11,Hugo Boss【Hugo】男士桑蚕丝提花图案式领带50389800 ,11,336,2,5
5.68886E+11,Hugo Boss【BOSS】男士商务休闲T恤风格针织衫50388054 ,8,990,3,5
5.82238E+11,Hugo Boss【Hugo】男士修身版棉质混纺长裤50402017 ,2,2000,0,无数据
5.59887E+11,Hugo Boss【BOSS】男士黑色短袜50272194 ,81,0,14,4.8
5.77267E+11,Hugo Boss【BOSS】女士商务休闲单纽西装外套50396543 ,4,2340,0,无数据
